Crop_Type,Soil_Type,Soil_pH,Temperature,Humidity,Wind_Speed,N,P,K,Soil_Quality,Year,Month,Day,Temperature_orig,Humidity_orig,Wind_Speed_orig,Soil_Quality_orig
Soybean,Loamy,6.5,15,80,9,63.0,60.0,55.00000000000001,59,2015,12,5,15.370452007587236,80.0,8.667100723119328,59.333333333333336
Soybean,Clay,6.25,3,80,14,54.0,50.0,44.0,43,2014,1,4,2.506204291806444,80.0,14.440985683516493,43.16666666666667
Tomato,Clay,6.25,28,72,11,60.0,45.0,40.0,42,2014,5,9,27.634489618328967,72.36551038167103,10.934488206065335,42.29166666666667
Soybean,Peaty,5.5,13,80,11,49.5,45.0,38.5,22,2014,1,29,13.15239191588885,80.0,10.613648188272236,22.166666666666668
Rice,Clay,6.25,36,64,6,78.0,60.0,44.0,53,2016,8,2,36.10698453500739,63.89301546499261,6.422054324187707,53.08333333333333
Soybean,Peaty,5.5,31,69,9,49.5,45.0,38.5,22,2020,9,16,31.24469687420129,68.75530312579872,9.34607729576276,22.166666666666668
Potato,Clay,6.25,38,62,9,66.0,50.0,36.0,44,2015,7,13,37.83506314282203,62.16493685717797,9.349275630690894,44.33333333333333
Wheat,Peaty,5.5,21,79,9,60.50000000000001,45.0,31.5,23,2023,11,24,20.777182656286435,79.22281734371356,8.717265571286733,22.83333333333333
Corn,Clay,6.25,13,80,3,72.0,55.00000000000001,40.0,49,2021,12,25,12.647332467184382,80.0,3.4192742396700826,48.70833333333333
Sunflower,Saline,8.0,26,74,11,65.0,60.50000000000001,49.50000000000001,15,2022,10,30,25.84409229108429,74.1559077089157,11.360081045963172,14.583333333333334
Barley,Saline,8.0,35,65,4,65.0,55.0,45.0,14,2016,7,30,34.519934247174994,65.480065752825,4.033445200227959,13.75
Corn,Clay,6.25,26,74,7,72.0,55.00000000000001,40.0,49,2014,9,10,25.87178007257434,74.12821992742566,6.787049558187739,48.70833333333333
Potato,Clay,6.25,25,75,5,66.0,50.0,36.0,44,2023,8,18,25.453814535935592,74.54618546406441,5.274972068089182,44.33333333333333
Wheat,Clay,6.25,25,75,10,66.0,50.0,36.0,44,2014,9,19,24.720666649716296,75.27933335028371,10.16451082376202,44.33333333333333
Rice,Clay,6.25,17,80,8,78.0,60.0,44.0,53,2021,9,25,17.12759176652756,80.0,7.979077846229522,53.08333333333333
Barley,Loamy,6.5,28,72,10,70.0,60.0,50.0,60,2022,9,11,27.53504233026332,72.46495766973669,9.661555978879598,60.0
Sugarcane,Loamy,6.5,36,64,15,91.0,72.0,60.0,74,2015,7,26,36.26424125615463,63.73575874384537,14.794862681452113,74.33333333333333
Wheat,Clay,6.25,38,62,12,66.0,50.0,36.0,44,2016,6,16,38.05647611606315,61.94352388393685,11.915846567914736,44.33333333333333
Sunflower,Loamy,6.5,40,60,13,70.0,66.0,55.00000000000001,64,2019,8,17,40.42532938297952,59.57467061702048,12.567377023881344,63.66666666666666
Tomato,Sandy,6.75,15,80,12,50.0,36.0,30.0,34,2023,2,9,15.032426219664652,80.0,11.720958042019522,33.83333333333333
Sugarcane,Clay,6.25,33,67,10,78.0,60.0,48.0,54,2015,6,20,32.670610776101256,67.32938922389874,10.334454451453231,54.25
Sugarcane,Saline,8.0,33,67,9,84.5,66.0,54.0,17,2018,6,13,32.907327909583984,67.09267209041602,9.11435532835355,17.041666666666668
Corn,Sandy,6.75,27,73,10,60.0,44.0,30.0,39,2016,5,3,26.8134466028327,73.1865533971673,9.57427952263206,39.08333333333333
