Temperature,Humidity,N,P,K,Soil_Quality,Month,NPK_Ratio_NP,NPK_Ratio_NK,NPK_Ratio_PK,Optimal_Temp_Distance,Wind_Temp_Effect,pH_Optimality,P_Balance,Temp_Level,Crop_Type_Corn,Crop_Type_Cotton,Crop_Type_Potato,Crop_Type_Rice,Crop_Type_Soybean,Crop_Type_Sugarcane,Crop_Type_Sunflower,Crop_Type_Tomato,Crop_Type_Wheat,Soil_Type_Loamy,Soil_Type_Peaty,Soil_Type_Saline,Soil_Type_Sandy,Season_Spring,Season_Summer,Season_Winter,Crop_Yield
30,70,78.0,60.0,48.0,54,3,1.2999999783333338,1.624999966145834,1.2499999739583338,7.5,240,0.5,0.15591397849462366,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,40.29413957846196
36,64,77.0,66.0,60.0,68,8,1.1666666489898994,1.2833333119444448,1.099999981666667,13.5,504,0.25,0.15845648604269294,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.0
33,67,50.0,40.0,30.0,35,6,1.249999968750001,1.6666666111111128,1.3333332888888902,10.5,330,0.0,0.16666666666666666,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.0
18,80,60.50000000000001,49.50000000000001,42.0,25,9,1.2222221975308647,1.4404761561791395,1.178571400510205,4.5,144,1.25,0.1589912280701755,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,46.399559831679255
23,77,66.0,55.00000000000001,48.0,49,3,1.1999999781818185,1.3749999713541674,1.1458333094618063,0.5,253,0.5,0.15877712031558192,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,61.40178838880458
14,80,65.0,48.0,36.0,43,11,1.3541666384548618,1.805555505401236,1.3333332962962974,8.5,168,0.0,0.15548098434004473,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.0
17,80,65.0,55.0,45.0,14,2,1.1818181603305788,1.4444444123456799,1.2222221950617291,5.5,204,1.25,0.16666666666666666,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,41.5106082935289
28,72,50.0,40.0,30.0,35,6,1.249999968750001,1.6666666111111128,1.3333332888888902,5.5,336,0.0,0.16666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,11.804385899032267
7,80,60.0,44.0,30.0,39,2,1.3636363326446288,1.9999999333333356,1.4666666177777794,15.5,70,0.0,0.16169154228855723,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.0
34,66,70.0,66.0,55.00000000000001,64,7,1.0606060445362722,1.2727272495867772,1.1999999781818185,11.5,374,0.25,0.1788830715532286,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0.0
27,73,71.5,60.50000000000001,54.0,16,4,1.1818181622839972,1.3240740495541843,1.1203703496227715,4.5,297,1.25,0.15860215053763446,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,16.87132463580097
41,59,63.0,60.0,55.00000000000001,59,8,1.0499999825000004,1.1454545246280994,1.0909090710743805,18.5,492,0.25,0.1704119850187266,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0.0
26,74,78.0,60.0,48.0,54,5,1.2999999783333338,1.624999966145834,1.2499999739583338,3.5,182,0.5,0.15591397849462366,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,71.99828228052827
